 DDSCAT --- DDSCAT 7.3.3 [22.01.20]   
 TARGET --- Cyl.prism, NAT=   4100 NFAC=    164 NLAY=     25 asp.ratio= 1.7301
 GPFAFT --- method of solution 
 GKDLDR --- prescription for polarizabilities
 CYLINDER1 --- shape 
    4100 = NAT0 = number of dipoles
 Nb                                                          
   0.000   0.000 = beta_min, beta_max ;  NBETA = 1
  45.000  45.000 = theta_min, theta_max; NTHETA= 1
  30.000  30.000 = phi_min, phi_max   ;   NPHI = 1
 0.5000 = ETASCA (param. controlling # of scatt. dirs used to calculate <cos> etc.
 Results averaged over    1 target orientations
                   and  2 incident polarizations
   aeff       wave       Q_ext     Q_abs      Q_sca     g(1)=<cos>  <cos^2>    Q_bk       Nsca
 3.0000E-02 2.0000E-02 2.7118E+00 1.4522E-01 2.5666E+00  5.9371E-01 5.8516E-01 2.2561E-02  7281
 3.0000E-02 3.3220E-02 2.2074E+00 1.0029E+00 1.2044E+00  8.7726E-01 8.3694E-01 9.9984E-04  3261
 3.0000E-02 4.6441E-02 1.8496E+00 7.7546E-01 1.0742E+00  8.6769E-01 8.0885E-01 4.2053E-04  2000
 3.0000E-02 5.9661E-02 2.1262E+00 8.0190E-01 1.3243E+00  7.8235E-01 7.1995E-01 1.3922E-03  1481
 3.0000E-02 7.2881E-02 2.3313E+00 1.0274E+00 1.3039E+00  7.5522E-01 6.9736E-01 1.5140E-03  1170
 3.0000E-02 8.6102E-02 2.4118E+00 1.2852E+00 1.1267E+00  7.6139E-01 6.9514E-01 3.5235E-03   962
 3.0000E-02 9.9322E-02 2.3361E+00 1.3427E+00 9.9343E-01  7.3944E-01 6.6316E-01 4.0754E-03   832
 3.0000E-02 1.1254E-01 2.3337E+00 1.4133E+00 9.2042E-01  7.0696E-01 6.2718E-01 2.6698E-03   712
 3.0000E-02 1.2576E-01 2.2196E+00 1.3620E+00 8.5764E-01  6.5648E-01 5.8284E-01 3.6453E-03   656
 3.0000E-02 1.3898E-01 2.4813E+00 1.4495E+00 1.0318E+00  6.0816E-01 5.4866E-01 6.5387E-03   605
 3.0000E-02 1.5220E-01 2.8116E+00 1.5998E+00 1.2118E+00  5.6531E-01 5.1999E-01 1.0311E-02   552
 3.0000E-02 1.6542E-01 3.0468E+00 1.7572E+00 1.2896E+00  5.2847E-01 4.9379E-01 1.1489E-02   500
 3.0000E-02 1.7864E-01 3.1610E+00 1.8602E+00 1.3007E+00  4.9513E-01 4.7044E-01 1.0017E-02   501
 3.0000E-02 1.9186E-01 3.3745E+00 1.9782E+00 1.3963E+00  4.5909E-01 4.5007E-01 1.0187E-02   452
 3.0000E-02 2.0508E-01 3.5832E+00 2.0944E+00 1.4888E+00  4.2613E-01 4.3152E-01 9.6322E-03   453
 3.0000E-02 2.1831E-01 3.6192E+00 2.1282E+00 1.4910E+00  3.9115E-01 4.1685E-01 1.2994E-02   408
 3.0000E-02 2.3153E-01 3.4690E+00 2.1036E+00 1.3654E+00  3.5640E-01 4.0802E-01 2.0495E-02   408
 3.0000E-02 2.4475E-01 3.3221E+00 2.0704E+00 1.2518E+00  3.2139E-01 4.0204E-01 2.8828E-02   408
 3.0000E-02 2.5797E-01 3.2001E+00 2.0467E+00 1.1534E+00  2.8892E-01 3.9787E-01 3.5696E-02   363
 3.0000E-02 2.7119E-01 3.1323E+00 2.0234E+00 1.1089E+00  2.5587E-01 3.9333E-01 4.2692E-02   363
 3.0000E-02 2.8441E-01 3.0563E+00 1.9895E+00 1.0668E+00  2.2648E-01 3.8961E-01 4.8418E-02   363
 3.0000E-02 2.9763E-01 2.9179E+00 1.9466E+00 9.7132E-01  2.0614E-01 3.8806E-01 4.9438E-02   363
 3.0000E-02 3.1085E-01 2.7655E+00 1.9037E+00 8.6181E-01  1.8978E-01 3.8733E-01 4.7826E-02   363
 3.0000E-02 3.2407E-01 2.6455E+00 1.8752E+00 7.7024E-01  1.7316E-01 3.8660E-01 4.6073E-02   323
 3.0000E-02 3.3729E-01 2.5461E+00 1.8496E+00 6.9654E-01  1.5746E-01 3.8564E-01 4.4409E-02   323
 3.0000E-02 3.5051E-01 2.4826E+00 1.8371E+00 6.4550E-01  1.4202E-01 3.8435E-01 4.3485E-02   323
 3.0000E-02 3.6373E-01 2.4289E+00 1.8239E+00 6.0502E-01  1.2809E-01 3.8299E-01 4.2673E-02   323
 3.0000E-02 3.7695E-01 2.3805E+00 1.8090E+00 5.7152E-01  1.1555E-01 3.8160E-01 4.1884E-02   323
 3.0000E-02 3.9017E-01 2.3344E+00 1.7924E+00 5.4200E-01  1.0432E-01 3.8021E-01 4.1015E-02   323
 3.0000E-02 4.0339E-01 2.2890E+00 1.7736E+00 5.1541E-01  9.4248E-02 3.7884E-01 4.0068E-02   323
 3.0000E-02 4.1661E-01 2.2392E+00 1.7498E+00 4.8946E-01  8.5477E-02 3.7776E-01 3.8924E-02   285
 3.0000E-02 4.2983E-01 2.1762E+00 1.7159E+00 4.6023E-01  7.8145E-02 3.7682E-01 3.7319E-02   285
 3.0000E-02 4.4305E-01 2.1066E+00 1.6762E+00 4.3036E-01  7.1905E-02 3.7612E-01 3.5496E-02   285
 3.0000E-02 4.5627E-01 2.0337E+00 1.6333E+00 4.0038E-01  6.6558E-02 3.7564E-01 3.3530E-02   285
 3.0000E-02 4.6949E-01 1.9577E+00 1.5874E+00 3.7029E-01  6.2019E-02 3.7537E-01 3.1443E-02   285
 3.0000E-02 4.8271E-01 1.8797E+00 1.5392E+00 3.4051E-01  5.8177E-02 3.7531E-01 2.9286E-02   285
 3.0000E-02 4.9593E-01 1.8010E+00 1.4895E+00 3.1153E-01  5.4912E-02 3.7542E-01 2.7116E-02   285
 3.0000E-02 5.0915E-01 1.7233E+00 1.4394E+00 2.8387E-01  5.2108E-02 3.7565E-01 2.4986E-02   285
 3.0000E-02 5.2237E-01 1.6473E+00 1.3895E+00 2.5784E-01  4.9680E-02 3.7599E-01 2.2936E-02   285
 3.0000E-02 5.3559E-01 1.5744E+00 1.3407E+00 2.3376E-01  4.7535E-02 3.7639E-01 2.1001E-02   285
 3.0000E-02 5.4881E-01 1.5077E+00 1.2957E+00 2.1209E-01  4.5522E-02 3.7677E-01 1.9232E-02   285
 3.0000E-02 5.6203E-01 1.4484E+00 1.2555E+00 1.9290E-01  4.3563E-02 3.7711E-01 1.7646E-02   285
 3.0000E-02 5.7525E-01 1.3964E+00 1.2204E+00 1.7602E-01  4.1635E-02 3.7739E-01 1.6232E-02   285
 3.0000E-02 5.8847E-01 1.3482E+00 1.1877E+00 1.6057E-01  3.9861E-02 3.7769E-01 1.4922E-02   285
 3.0000E-02 6.0169E-01 1.3044E+00 1.1576E+00 1.4683E-01  3.8216E-02 3.7818E-01 1.3743E-02   248
 3.0000E-02 6.1492E-01 1.2650E+00 1.1303E+00 1.3463E-01  3.6578E-02 3.7841E-01 1.2685E-02   248
 3.0000E-02 6.2814E-01 1.2296E+00 1.1058E+00 1.2379E-01  3.4997E-02 3.7860E-01 1.1737E-02   248
 3.0000E-02 6.4136E-01 1.1980E+00 1.0838E+00 1.1416E-01  3.3468E-02 3.7875E-01 1.0885E-02   248
 3.0000E-02 6.5458E-01 1.1699E+00 1.0643E+00 1.0557E-01  3.1991E-02 3.7887E-01 1.0119E-02   248
 3.0000E-02 6.6780E-01 1.1456E+00 1.0476E+00 9.7985E-02  3.0544E-02 3.7892E-01 9.4373E-03   248
 3.0000E-02 6.8102E-01 1.1305E+00 1.0386E+00 9.1918E-02  2.8945E-02 3.7878E-01 8.8877E-03   248
 3.0000E-02 6.9424E-01 1.1256E+00 1.0382E+00 8.7435E-02  2.7159E-02 3.7836E-01 8.4768E-03   248
 3.0000E-02 7.0746E-01 1.1170E+00 1.0341E+00 8.2878E-02  2.5622E-02 3.7803E-01 8.0560E-03   248
 3.0000E-02 7.2068E-01 1.1035E+00 1.0254E+00 7.8087E-02  2.4355E-02 3.7786E-01 7.6114E-03   248
 3.0000E-02 7.3390E-01 1.0926E+00 1.0187E+00 7.3964E-02  2.3094E-02 3.7760E-01 7.2250E-03   248
 3.0000E-02 7.4712E-01 1.0843E+00 1.0139E+00 7.0429E-02  2.1841E-02 3.7725E-01 6.8907E-03   248
 3.0000E-02 7.6034E-01 1.0784E+00 1.0110E+00 6.7428E-02  2.0596E-02 3.7680E-01 6.6035E-03   248
 3.0000E-02 7.7356E-01 1.0745E+00 1.0096E+00 6.4916E-02  1.9362E-02 3.7624E-01 6.3592E-03   248
 3.0000E-02 7.8678E-01 1.0863E+00 1.0218E+00 6.4475E-02  1.7726E-02 3.7500E-01 6.2981E-03   248
 3.0000E-02 8.0000E-01 1.1063E+00 1.0409E+00 6.5404E-02  1.5913E-02 3.7326E-01 6.3549E-03   248
