 DDSCAT --- DDSCAT 7.3.3 [22.01.20]   
 TARGET --- Cyl.prism, NAT=   4100 NFAC=    164 NLAY=     25 asp.ratio= 1.7301
 GPFAFT --- method of solution 
 GKDLDR --- prescription for polarizabilities
 CYLINDER1 --- shape 
    4100 = NAT0 = number of dipoles
 Nb                                                          
   0.000   0.000 = beta_min, beta_max ;  NBETA = 1
  45.000  45.000 = theta_min, theta_max; NTHETA= 1
  30.000  30.000 = phi_min, phi_max   ;   NPHI = 1
 0.5000 = ETASCA (param. controlling # of scatt. dirs used to calculate <cos> etc.
 Results averaged over    1 target orientations
                   and  2 incident polarizations
   aeff       wave       Q_ext     Q_abs      Q_sca     g(1)=<cos>  <cos^2>    Q_bk       Nsca
 4.5000E-02 2.0000E-02 2.4498E+00 9.4530E-02 2.3553E+00  5.9198E-01 5.7741E-01 1.5499E-02 14333
 4.5000E-02 3.3220E-02 2.2950E+00 9.8256E-01 1.3125E+00  8.8445E-01 8.5322E-01 1.2303E-03  6138
 4.5000E-02 4.6441E-02 2.1090E+00 8.2520E-01 1.2839E+00  8.8567E-01 8.4050E-01 6.0456E-04  3620
 4.5000E-02 5.9661E-02 2.2835E+00 7.9207E-01 1.4915E+00  8.0279E-01 7.5262E-01 2.0252E-03  2491
 4.5000E-02 7.2881E-02 2.4095E+00 9.5415E-01 1.4554E+00  7.8750E-01 7.4144E-01 1.4011E-03  1910
 4.5000E-02 8.6102E-02 2.4518E+00 1.1697E+00 1.2821E+00  8.0723E-01 7.5867E-01 2.5096E-03  1564
 4.5000E-02 9.9322E-02 2.4039E+00 1.2259E+00 1.1780E+00  8.0438E-01 7.4892E-01 8.5983E-04  1244
 4.5000E-02 1.1254E-01 2.4112E+00 1.2923E+00 1.1189E+00  7.9477E-01 7.3373E-01 5.6572E-04  1095
 4.5000E-02 1.2576E-01 2.3421E+00 1.2535E+00 1.0886E+00  7.6906E-01 7.0195E-01 2.6745E-03   962
 4.5000E-02 1.3898E-01 2.5406E+00 1.2833E+00 1.2573E+00  7.2763E-01 6.6558E-01 6.3331E-03   898
 4.5000E-02 1.5220E-01 2.7857E+00 1.3748E+00 1.4109E+00  6.9633E-01 6.3902E-01 7.8933E-03   769
 4.5000E-02 1.6542E-01 2.9755E+00 1.5005E+00 1.4750E+00  6.7674E-01 6.1953E-01 6.8784E-03   712
 4.5000E-02 1.7864E-01 3.0770E+00 1.5730E+00 1.5040E+00  6.5254E-01 5.9760E-01 6.3870E-03   656
 4.5000E-02 1.9186E-01 3.2429E+00 1.6340E+00 1.6089E+00  6.1908E-01 5.7298E-01 9.8641E-03   656
 4.5000E-02 2.0508E-01 3.4088E+00 1.6936E+00 1.7153E+00  5.8157E-01 5.4858E-01 1.7899E-02   604
 4.5000E-02 2.1831E-01 3.4893E+00 1.7242E+00 1.7651E+00  5.4701E-01 5.2550E-01 2.6369E-02   551
 4.5000E-02 2.3153E-01 3.4796E+00 1.7709E+00 1.7087E+00  5.2794E-01 5.0650E-01 2.5645E-02   552
 4.5000E-02 2.4475E-01 3.4742E+00 1.8267E+00 1.6475E+00  5.1450E-01 4.8945E-01 1.9799E-02   499
 4.5000E-02 2.5797E-01 3.4697E+00 1.8834E+00 1.5862E+00  5.0208E-01 4.7416E-01 1.3139E-02   501
 4.5000E-02 2.7119E-01 3.4978E+00 1.9288E+00 1.5690E+00  4.8432E-01 4.5889E-01 8.6392E-03   501
 4.5000E-02 2.8441E-01 3.5074E+00 1.9606E+00 1.5467E+00  4.6555E-01 4.4542E-01 5.7477E-03   452
 4.5000E-02 2.9763E-01 3.4493E+00 1.9796E+00 1.4697E+00  4.4934E-01 4.3568E-01 5.1626E-03   452
 4.5000E-02 3.1085E-01 3.3744E+00 1.9903E+00 1.3842E+00  4.3130E-01 4.2823E-01 7.3933E-03   453
 4.5000E-02 3.2407E-01 3.3157E+00 2.0002E+00 1.3155E+00  4.0935E-01 4.2165E-01 1.1272E-02   407
 4.5000E-02 3.3729E-01 3.2668E+00 2.0058E+00 1.2609E+00  3.8507E-01 4.1557E-01 1.5984E-02   408
 4.5000E-02 3.5051E-01 3.2392E+00 2.0124E+00 1.2267E+00  3.5878E-01 4.0981E-01 2.1252E-02   408
 4.5000E-02 3.6373E-01 3.2186E+00 2.0157E+00 1.2029E+00  3.3234E-01 4.0469E-01 2.6857E-02   408
 4.5000E-02 3.7695E-01 3.2018E+00 2.0159E+00 1.1860E+00  3.0651E-01 4.0030E-01 3.2609E-02   362
 4.5000E-02 3.9017E-01 3.1857E+00 2.0134E+00 1.1723E+00  2.8151E-01 3.9632E-01 3.8284E-02   363
 4.5000E-02 4.0339E-01 3.1685E+00 2.0082E+00 1.1604E+00  2.5777E-01 3.9280E-01 4.3733E-02   363
 4.5000E-02 4.1661E-01 3.1464E+00 1.9994E+00 1.1470E+00  2.3565E-01 3.8971E-01 4.8727E-02   363
 4.5000E-02 4.2983E-01 3.1121E+00 1.9861E+00 1.1260E+00  2.1580E-01 3.8714E-01 5.2842E-02   363
 4.5000E-02 4.4305E-01 3.0706E+00 1.9702E+00 1.1004E+00  1.9795E-01 3.8494E-01 5.6101E-02   363
 4.5000E-02 4.5627E-01 3.0237E+00 1.9532E+00 1.0705E+00  1.8204E-01 3.8304E-01 5.8470E-02   363
 4.5000E-02 4.6949E-01 2.9715E+00 1.9356E+00 1.0359E+00  1.6810E-01 3.8160E-01 5.9931E-02   323
 4.5000E-02 4.8271E-01 2.9144E+00 1.9172E+00 9.9725E-01  1.5581E-01 3.8026E-01 6.0545E-02   323
 4.5000E-02 4.9593E-01 2.8531E+00 1.8981E+00 9.5508E-01  1.4506E-01 3.7916E-01 6.0404E-02   323
 4.5000E-02 5.0915E-01 2.7884E+00 1.8780E+00 9.1037E-01  1.3566E-01 3.7829E-01 5.9631E-02   323
 4.5000E-02 5.2237E-01 2.7207E+00 1.8567E+00 8.6396E-01  1.2740E-01 3.7760E-01 5.8341E-02   323
 4.5000E-02 5.3559E-01 2.6508E+00 1.8341E+00 8.1677E-01  1.2009E-01 3.7709E-01 5.6656E-02   323
 4.5000E-02 5.4881E-01 2.5813E+00 1.8110E+00 7.7025E-01  1.1345E-01 3.7669E-01 5.4737E-02   323
 4.5000E-02 5.6203E-01 2.5136E+00 1.7883E+00 7.2531E-01  1.0730E-01 3.7636E-01 5.2694E-02   323
 4.5000E-02 5.7525E-01 2.4489E+00 1.7664E+00 6.8248E-01  1.0153E-01 3.7608E-01 5.0602E-02   323
 4.5000E-02 5.8847E-01 2.3842E+00 1.7439E+00 6.4026E-01  9.6317E-02 3.7592E-01 4.8368E-02   323
 4.5000E-02 6.0169E-01 2.3218E+00 1.7214E+00 6.0035E-01  9.1465E-02 3.7580E-01 4.6145E-02   323
 4.5000E-02 6.1492E-01 2.2621E+00 1.6992E+00 5.6290E-01  8.6992E-02 3.7589E-01 4.3967E-02   285
 4.5000E-02 6.2814E-01 2.2055E+00 1.6776E+00 5.2792E-01  8.2715E-02 3.7581E-01 4.1856E-02   285
 4.5000E-02 6.4136E-01 2.1522E+00 1.6568E+00 4.9534E-01  7.8684E-02 3.7575E-01 3.9825E-02   285
 4.5000E-02 6.5458E-01 2.1022E+00 1.6371E+00 4.6510E-01  7.4876E-02 3.7569E-01 3.7882E-02   285
 4.5000E-02 6.6780E-01 2.0565E+00 1.6191E+00 4.3736E-01  7.1234E-02 3.7561E-01 3.6057E-02   285
 4.5000E-02 6.8102E-01 2.0220E+00 1.6078E+00 4.1422E-01  6.7419E-02 3.7536E-01 3.4534E-02   285
 4.5000E-02 6.9424E-01 2.0011E+00 1.6047E+00 3.9643E-01  6.3338E-02 3.7486E-01 3.3385E-02   285
 4.5000E-02 7.0746E-01 1.9765E+00 1.5982E+00 3.7832E-01  5.9766E-02 3.7446E-01 3.2153E-02   285
 4.5000E-02 7.2068E-01 1.9461E+00 1.5869E+00 3.5921E-01  5.6737E-02 3.7422E-01 3.0790E-02   285
 4.5000E-02 7.3390E-01 1.9203E+00 1.5778E+00 3.4249E-01  5.3766E-02 3.7390E-01 2.9582E-02   285
 4.5000E-02 7.4712E-01 1.8987E+00 1.5707E+00 3.2799E-01  5.0848E-02 3.7349E-01 2.8522E-02   285
 4.5000E-02 7.6034E-01 1.8813E+00 1.5657E+00 3.1557E-01  4.7978E-02 3.7298E-01 2.7604E-02   285
 4.5000E-02 7.7356E-01 1.8678E+00 1.5627E+00 3.0511E-01  4.5154E-02 3.7235E-01 2.6821E-02   285
 4.5000E-02 7.8678E-01 1.8783E+00 1.5751E+00 3.0327E-01  4.1586E-02 3.7098E-01 2.6717E-02   285
 4.5000E-02 8.0000E-01 1.9028E+00 1.5955E+00 3.0736E-01  3.7685E-02 3.6904E-01 2.7063E-02   285
