 DDSCAT --- DDSCAT 7.3.3 [22.01.20]   
 TARGET --- Cyl.prism, NAT=  29568 NFAC=    616 NLAY=     48 asp.ratio= 1.7139
 GPFAFT --- method of solution 
 GKDLDR --- prescription for polarizabilities
 CYLINDER1 --- shape 
   29568 = NAT0 = number of dipoles
 Nb                                                          
   0.000   0.000 = beta_min, beta_max ;  NBETA = 1
   0.000   0.000 = theta_min, theta_max; NTHETA= 1
  15.000  15.000 = phi_min, phi_max   ;   NPHI = 1
 0.5000 = ETASCA (param. controlling # of scatt. dirs used to calculate <cos> etc.
 Results averaged over    1 target orientations
                   and  2 incident polarizations
   aeff       wave       Q_ext     Q_abs      Q_sca     g(1)=<cos>  <cos^2>    Q_bk       Nsca
 4.5000E-02 5.0000E-02 1.5196E+00 5.0555E-01 1.0141E+00  8.8513E-01 8.9941E-01 9.6811E-02  3496
 4.5000E-02 6.5385E-02 1.7579E+00 5.9838E-01 1.1596E+00  7.8074E-01 8.7415E-01 1.7019E-01  2388
 4.5000E-02 8.0769E-02 1.9977E+00 8.4816E-01 1.1496E+00  7.7544E-01 8.5990E-01 1.1660E-01  1818
 4.5000E-02 9.6154E-02 2.0194E+00 9.8757E-01 1.0319E+00  7.9726E-01 8.3435E-01 5.5185E-02  1396
 4.5000E-02 1.1154E-01 2.0762E+00 1.0722E+00 1.0040E+00  7.8555E-01 8.0155E-01 4.2065E-02  1168
 4.5000E-02 1.2692E-01 2.0394E+00 1.0290E+00 1.0104E+00  7.5862E-01 7.5962E-01 3.0310E-02  1029
 4.5000E-02 1.4231E-01 2.2949E+00 1.0892E+00 1.2057E+00  7.1263E-01 7.2355E-01 3.9414E-02   897
 4.5000E-02 1.5769E-01 2.6048E+00 1.2354E+00 1.3694E+00  6.7926E-01 6.9639E-01 5.1619E-02   832
 4.5000E-02 1.7308E-01 2.7898E+00 1.4113E+00 1.3786E+00  6.6552E-01 6.7489E-01 5.6652E-02   712
 4.5000E-02 1.8846E-01 3.0098E+00 1.5387E+00 1.4711E+00  6.4747E-01 6.4828E-01 4.8130E-02   656
 4.5000E-02 2.0385E-01 3.2795E+00 1.7239E+00 1.5557E+00  6.2980E-01 6.2389E-01 2.3059E-02   657
 4.5000E-02 2.1923E-01 3.4525E+00 1.8688E+00 1.5837E+00  6.0076E-01 6.0905E-01 1.3073E-02   604
 4.5000E-02 2.3462E-01 3.4305E+00 1.9270E+00 1.5035E+00  5.7031E-01 6.0222E-01 3.9475E-02   551
 4.5000E-02 2.5000E-01 3.4052E+00 1.9699E+00 1.4353E+00  5.5243E-01 5.9122E-01 6.5382E-02   552
 4.5000E-02 2.6538E-01 3.4525E+00 2.0373E+00 1.4152E+00  5.4334E-01 5.7592E-01 7.9404E-02   501
 4.5000E-02 2.8077E-01 3.5265E+00 2.1128E+00 1.4138E+00  5.3954E-01 5.5804E-01 8.4681E-02   501
 4.5000E-02 2.9615E-01 3.5161E+00 2.1813E+00 1.3348E+00  5.5536E-01 5.3905E-01 6.9341E-02   452
 4.5000E-02 3.1154E-01 3.4531E+00 2.2261E+00 1.2270E+00  5.7269E-01 5.1963E-01 4.7684E-02   452
 4.5000E-02 3.2692E-01 3.3960E+00 2.2560E+00 1.1400E+00  5.7883E-01 5.0103E-01 3.1214E-02   453
 4.5000E-02 3.4231E-01 3.3456E+00 2.2729E+00 1.0727E+00  5.7556E-01 4.8354E-01 1.9293E-02   407
 4.5000E-02 3.5769E-01 3.3132E+00 2.2851E+00 1.0281E+00  5.6410E-01 4.6718E-01 1.1198E-02   408
 4.5000E-02 3.7308E-01 3.2764E+00 2.2834E+00 9.9306E-01  5.4677E-01 4.5224E-01 5.6356E-03   408
 4.5000E-02 3.8846E-01 3.2329E+00 2.2689E+00 9.6399E-01  5.2449E-01 4.3894E-01 2.3528E-03   408
 4.5000E-02 4.0385E-01 3.1804E+00 2.2419E+00 9.3851E-01  4.9850E-01 4.2754E-01 1.0576E-03   363
 4.5000E-02 4.1923E-01 3.1109E+00 2.1994E+00 9.1155E-01  4.6971E-01 4.1773E-01 1.4296E-03   363
 4.5000E-02 4.3462E-01 3.0153E+00 2.1390E+00 8.7633E-01  4.3966E-01 4.0979E-01 3.1317E-03   363
 4.5000E-02 4.5000E-01 2.9082E+00 2.0706E+00 8.3760E-01  4.0968E-01 4.0357E-01 5.6847E-03   363
 4.5000E-02 4.6538E-01 2.7945E+00 1.9990E+00 7.9547E-01  3.8101E-01 3.9891E-01 8.5915E-03   363
 4.5000E-02 4.8077E-01 2.6764E+00 1.9264E+00 7.5007E-01  3.5445E-01 3.9556E-01 1.1439E-02   363
 4.5000E-02 4.9615E-01 2.5575E+00 1.8548E+00 7.0264E-01  3.3055E-01 3.9341E-01 1.3942E-02   323
 4.5000E-02 5.1154E-01 2.4396E+00 1.7853E+00 6.5435E-01  3.0905E-01 3.9188E-01 1.5951E-02   323
 4.5000E-02 5.2692E-01 2.3243E+00 1.7180E+00 6.0634E-01  2.8994E-01 3.9091E-01 1.7425E-02   323
 4.5000E-02 5.4231E-01 2.2135E+00 1.6537E+00 5.5987E-01  2.7292E-01 3.9033E-01 1.8402E-02   323
 4.5000E-02 5.5769E-01 2.1117E+00 1.5948E+00 5.1688E-01  2.5744E-01 3.8997E-01 1.9005E-02   323
 4.5000E-02 5.7308E-01 2.0190E+00 1.5415E+00 4.7754E-01  2.4318E-01 3.8975E-01 1.9320E-02   323
 4.5000E-02 5.8846E-01 1.9331E+00 1.4923E+00 4.4078E-01  2.3017E-01 3.8967E-01 1.9362E-02   323
 4.5000E-02 6.0385E-01 1.8533E+00 1.4464E+00 4.0693E-01  2.1816E-01 3.8966E-01 1.9208E-02   323
 4.5000E-02 6.1923E-01 1.7801E+00 1.4039E+00 3.7614E-01  2.0697E-01 3.8971E-01 1.8921E-02   323
 4.5000E-02 6.3462E-01 1.7133E+00 1.3651E+00 3.4824E-01  1.9649E-01 3.8980E-01 1.8540E-02   323
 4.5000E-02 6.5000E-01 1.6527E+00 1.3297E+00 3.2295E-01  1.8679E-01 3.9011E-01 1.8095E-02   285
